Unit Name,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,,Total Cases
,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,Total,
DMP,17,83,216,216,17,1782,75,236,613,1290,5708,155,354,16215,173,16897,27150
CMP,6,65,75,100,0,405,11,34,74,208,1446,365,136,4747,59,5307,7731
KMP,2,6,19,18,0,145,3,3,32,63,385,24,1,1858,45,1928,2604
RMP,0,27,22,14,3,177,17,12,45,64,597,35,19,2847,368,3269,4247
BMP,3,8,17,6,0,101,6,6,44,42,441,16,1,1088,0,1105,1779
SMP,8,12,33,44,0,159,1,39,32,85,731,16,2,520,34,572,1716
Dhaka Range,71,96,854,105,0,3014,82,122,304,931,11830,292,65,22682,155,23194,40603
Mymensingh Range,5,10,265,54,1,1056,20,23,66,301,5294,53,139,6329,100,6621,13716
Chittagong Range,44,84,728,110,1,1915,93,151,325,701,11445,723,122,13338,145,14328,29925
Sylhet Range,25,18,272,19,1,885,13,94,84,390,4648,62,19,2438,194,2713,9162
Khulna Range,26,54,392,27,3,1530,29,14,190,403,7402,369,207,10076,531,11183,21253
Barisal Range,20,24,166,55,0,1321,20,20,132,205,4975,54,56,4384,2,4496,11434
Rajshahi Range,21,53,408,126,0,1786,46,27,95,392,6979,257,116,13764,1538,15675,25608
Rangpur Range,13,13,307,19,0,1908,16,18,91,372,7474,72,57,10921,997,12047,22278
Railway Range,0,4,27,3,0,4,1,5,0,65,108,2,0,611,159,772,989
GMP,0,4,26,4,0,46,3,5,7,32,183,18,15,528,1,562,872
RPMP,1,1,3,2,0,19,8,2,3,17,90,2,1,203,0,206,352
ATU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,262,562,3830,922,26,16253,444,811,2137,5561,69736,2515,1310,112549,4501,120875,221419
